id,is_user_action,is_note,result
a48eb304-4682-4fcf-b428-a07df4014c92,f,f,"The cold gives way to fluorescent light.  Harry steps through the hospital's automatic doors without slowing, passing effortlessly through glass that no longer offers him resistance. The lobby is alive with motion. Nurses weave between waiting families, orderlies rush stretchers down polished hallways, children cry, televisions murmur overhead, and somewhere an intercom calmly announces another emergency. Hundreds of living people surround him, yet not a single pair of eyes turns in his direction.  For the first time since his death, Harry stands in a place that has simply... moved on. No monsters stalk these halls. No ghosts scream for help. Life continues with relentless indifference.  Somewhere inside this building, Christine is working her shift.  And somewhere inside these walls lies the truth about what happened after the river."
9673d999-0293-4af6-90f5-ef3b3558ce31,t,f,"""She was not at home, she must be here. I must see her. I must find her."" I speak to myself"
f588cbc8-dad0-47b4-b9ba-3e0110735d7e,f,,"Shadow: (A low, mocking rasp, curling around your ear) Shadow: Oh, look at you. Pathetic puppy, begging for scraps of her attention. What are you gonna say when you find her, Harry? ""Sorry, honey, I drowned""? Maybe she'll give you that look—like you're something she scraped off her shoe.

Shadow: (A sneer in its voice, like nails dragging over your spine) Shadow: Just walk right in. Yell until she notices the ghost who ruined her life. Maybe if you scream loud enough, one of these meatbags will finally see you."
ed76f34c-05f3-4025-972a-1edf9aa11a17,t,f,"I try to walk behind the counter, stepping aside to not stumble to any of the living going by."
608290a8-867d-4d0d-b529-5b2fdc87a482,f,,"The reception counter in the Shadowlands is worn and barely tangible, its edges blurred as if eroded by years of anxious waiting and whispered hopes. Old stains and faded graffiti linger on its surface, the ghosts of past visitors. The ring of phones and clatter of keyboards is muffled here, sounding distant, as if through water. Through the translucent counter, you see tired staff tending to paperwork, answering calls, and directing families in the Skinlands.

Behind the counter, rows of metal cabinets and computer terminals stand, many out of date and flickering with ghostly glitches. The air is heavy with the scent of antiseptic layered over something older—fear, regret, and desperation. From here, corridors stretch deeper into the hospital: signs for ICU, Pediatrics, Operating Theatres, and a stairwell leading both up and down. The living pass through you, unaware, but their voices echo faintly, sometimes naming staff, room numbers, or emergencies."
299db723-0cdc-46aa-967a-dd91c2225755,t,t,"Success (2)! Diff: 6, Rolls: 7, 5, 6, 5"
cb010c09-f65c-4190-a3ba-cb44e1714721,t,f,Overhears Christine's location or shift details from staff chatter.
b57463c5-f1bb-4ee6-9d10-dd88f0013188,f,,"You focus, letting the ebb and flow of voices wash over you. Near the edge of the counter, two nurses in the Skinlands consult a chart, their conversation clear enough to pierce the Shroud: “Christine Baker’s covering ICU tonight—she swapped with Patel for the late shift.” Another clerk calls for someone: “Christine, ICU Room 19, please. Family’s waiting for updates.” The name echoes, carrying a subtle charge—your Christine is close, working the night among intensive care patients.

From your vantage, a faded directory board hangs on the wall, its letters blurred but still readable: ICU is on the second floor, accessible by elevator or the stairwell just beyond the lobby. The corridor leading to ICU is dimmer in the Shadowlands, lined with ghostly wheelchairs and beds where echoes of sorrow linger. Sounds of urgent conversation and the hum of medical machinery filter through from above."
d81ce5a4-569c-4a78-8120-e84a81b0a6f8,t,f,Take the stairwell up to ICU
d5c06ec1-89d1-430b-8e96-f89ac444f937,f,,"The stairwell yawns before you, its walls streaked with old water stains and echoes of hurried footsteps. The overhead lights flicker in the Shadowlands, casting fractured shadows against chipped tiles and rusting railings—marks left by decades of anxious ascents and descents. The living barely notice your presence as they pass, their forms blurred and translucent from your vantage, but you move through them without resistance, climbing the stairs with a strange weightlessness.

At the second-floor landing, a set of double doors—paint peeling and battered by memories—leads to the ICU corridor. The air here feels colder, tinged with antiseptic and the metallic scent of blood and fear. Monitors beep faintly, filtered through the Shroud, while staff stride briskly between rooms. Signs mark Room 19 ahead, where a cluster of family members and medical personnel gather near the entrance, voices subdued and tense."
d4e8bb89-d513-4609-9db2-20274b10e63a,t,f,Approach ICU Room 19
d26c0094-cea5-46c0-901d-66026a63edad,f,,"The corridor outside ICU Room 19 is hushed, thick with the weight of hope and dread. The walls here in the Shadowlands are faded, imprinted with countless handprints—remnants of anxious families and desperate prayers. Medical carts and ghostly wheelchairs line the hall, their outlines blurred and smudged by memory. Through the Shroud, you hear snippets of conversation: fatigue in the nurses’ voices, the quiet sobs of a waiting mother, the steady murmur of a doctor briefing next of kin.

Room 19’s door is ajar, revealing a small, sterile chamber bathed in pale fluorescent light. Inside, Christine stands near the patient’s bed, her posture tense as she checks monitors and speaks softly to an elderly woman. In the Shadowlands, Christine’s form glows faintly with emotional resonance—her worry and exhaustion palpable, mingling with traces of determination. The room is ringed with spectral chairs and personal belongings: a faded teddy bear, a prayer card, a vase of wilted flowers. No one notices you, but the air feels charged, as if something important could happen at any moment."
35a3c8ca-38d2-41e2-97df-a33e64bd063c,t,f,"I instantly close my eyes in reaction. I can't hold the tears from seeing her. ""Oh my God, she's here."" A thousand thoughts cross my mind. Running and hugging her, as if I could. Disappearing forever. All with same intensity."
d28e03f0-5e25-44e5-8f0a-1deeba95bf37,f,,"Shadow: (A guttural, mocking laugh, vibrating in your skull) Shadow: Pathetic. Blubbering like a kid lost in the mall. You’re dead, Harry. She can’t see you, can’t feel you, and she damn sure doesn’t need you.

Shadow: (Words like broken glass, cold and sharp) Shadow: Go on, try to touch her. Watch your hand go straight through. Or maybe just stand there and whine—let her forget you, like everyone else will."
6a846f29-ab0a-44f9-97af-b895e97ff01d,t,f,"I walk slowly, and master strength to enter Room 19, basking on the sweet tone of her weary voice. I sneak to the edge of the room, and listem to her handle the patient."
478959ef-bc8c-41c5-8004-e39180a9469c,f,,"Moving quietly through the spectral doorway, you find yourself awash in the emotional resonance that saturates ICU Room 19. The ambient hum of machines is muffled, softened by layers of sorrow and hope that cling to the faded walls. Christine’s voice, gentle but strained, reaches you as she adjusts the patient’s IV: “You’re doing so well, Mrs. Redding. Just a little longer and we’ll get you home.” Her tone is steady, but beneath it is the exhaustion of long shifts and personal burdens.

The elderly patient, frail but lucid, nods weakly, clutching a worn prayer card. Christine checks vitals, her movements efficient, and soothes the woman with small comforts—a damp cloth for her forehead, a reassuring touch on her shoulder. A family member sits nearby, hands folded tightly, eyes red-rimmed with worry. The room’s air is tinged with antiseptic and the lingering scent of lilies from a wilted bouquet. Everything feels suspended, as if time itself pauses to accommodate the gravity of Christine’s presence."
3a0cf308-4e3b-4546-af3d-152a7cc555b3,t,f,"I wait in the corner, until Christine is alone or back in the resting rooms for staff."
