               scene_id               |                                                                                                                                                                                                                                                                                                                                                                            result                                                                                                                                                                                                                                                                                                                                                                            
--------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Amara: *She kneels by a patch of withered moss, her fingers trembling slightly as she brushes away a dusting of gray, synthetic soot.* It isn't just the trees they’re taking, child. They’re tearing out the very spirit of the soil.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: *She stands a few paces away, head tilted sharply to the side as if listening to a distant, discordant melody.* The wind here doesn't whisper anymore, Amara. It screams. Something is bleeding into the Umbra, and it tastes like copper and rot.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: *He leans heavily on his gnarled walking stick, his breath hitching in a wheezing cough before he glares toward the distant, humming silhouette of the NORTHEX complex.* Bah! Stop your shivering and look at the blueprints. If we don’t identify the main artery of their pipeline, this entire grove will be nothing but a graveyard by next moon.
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Rusty: *He spits a glob of thick, black bile onto the dirt, his eyes narrowing as he points his stick toward a cluster of heavy machinery sitting near the ridge.* That is the nature of the Wyrm, Terry; it doesn't just destroy, it consumes and replaces. They don't see trees, they see assets—and they have the political weight to make the law bow to their greed. Tell me, do you have the stomach to stop them, or are you just here to mourn the scenery?
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Rusty, where are we going to find the survey data?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: *He scoffs, his lip curling into a sneer as he taps his stick sharply against a rock.* You want paper, while the world burns? Check the foreman’s shack at the edge of the perimeter; they keep the acquisition maps locked in a steel box, likely thinking their locks are enough to stop the inevitable. Now, are you going to stand there gawking, or are you going to move before the patrol returns?
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Rusty: *He spits a glob of dark, bitter bile onto the fouled earth, his sunken eyes fixed on the vibrating steel mechanism boring into the dirt.* They aren't just cutting down trees, Viccy. They're driving spikes into the very veins of the Mother, bleeding the spirit out of the grove to starve the Caern until we're too weak to howl back. *He clutches his chest, wheezing softly before standing tall with a harsh, bitter glare.* Every inch of that rig is a desecration, and if we don't tear it out by the roots, there won't be a Blackpine left to save. But first, we have to protect the spirit of the Blackpine Grove. You have to find the spiritual nodes, that are sick, and we need to cleanse them before it's too late.
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Flowers: *Curls her upper lip back in a vicious snarl, the silver flame hissing and sparking against the damp bark, her amber eyes darting nervously between the fire and the creeping shadows of the treeline.*                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Terry: *Leans low against the rough bark of the blighted pine, his muscles coiled like springs under his green vest, his breathing steady as he grips the hilt of his hunting knife.*                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: *Leans heavily on his staff, his frail chest heaving with every breath, but his sunken eyes flare with sudden, fierce pride as he raises his chin to the sky.*
